Dish_Name,Cuisine_Type,Veg_Non,Describe,Spice_Level,Sugar_Level,Dish_Category,Food_ID,Weather_Type
Shrimp and Lemongrass Soup,Unknown,Non-Vegetarian,"Shrimp and Lemongrass Soup is a <b>gluten free, dairy free, whole 30, and pescatarian</b> hor d'oeuvre. One serving contains <b>135 calories</b>, <b>11g of protein</b>, and <b>3g of fat</b>. This recipe serves 4. For <b>$2.12 per serving</b>, this recipe <b>covers 13%</b> of your daily requirements of vitamins and minerals. A couple people made this recipe, and 13 would say it hit the spot. It will be a hit at your <b>Autumn</b> event. This recipe from Foodista requires shrimp, lemongrass stems, carrot, and mint. From preparation to the plate, this recipe takes around <b>45 minutes</b>. With a spoonacular <b>score of 76%</b>, this dish is good. Similar recipes include <a href=""https://spoonacular.com/recipes/shrimp-and-lemongrass-soup-1259313"">Shrimp and Lemongrass Soup</a>, <a href=""https://spoonacular.com/recipes/shrimp-and-lemongrass-soup-1222123"">Shrimp and Lemongrass Soup</a>, and <a href=""https://spoonacular.com/recipes/shrimp-and-lemongrass-soup-1558837"">Shrimp and Lemongrass Soup</a>.",4,2,"antipasti, soup, starter, snack, appetizer, antipasto, hor d'oeuvre",106,Hot
Ground Turkey Stuffed Peppers,Unknown,Non-Vegetarian,"Ground Turkey Stuffed Peppers might be just the main course you are searching for. Watching your figure? This gluten free recipe has <b>463 calories</b>, <b>34g of protein</b>, and <b>17g of fat</b> per serving. This recipe serves 4 and costs $3.0 per serving. 112 people were glad they tried this recipe. A mixture of bell peppers, garlic, onion, and a handful of other ingredients are all it takes to make this recipe so yummy. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 94%</b>, which is spectacular. Try <a href=""https://spoonacular.com/recipes/ground-turkey-stuffed-peppers-1311407"">Ground Turkey Stuffed Peppers</a>, <a href=""https://spoonacular.com/recipes/ground-turkey-stuffed-peppers-1227903"">Ground Turkey Stuffed Peppers</a>, and <a href=""https://spoonacular.com/recipes/ground-turkey-stuffed-peppers-1353987"">Ground Turkey Stuffed Peppers</a> for similar recipes.",5,4,"lunch, main course, main dish, dinner",107,Rainy
Alouette Chicken Paprika,Unknown,Non-Vegetarian,"Alouette Chicken Paprika takes around <b>45 minutes</b> from beginning to end. One serving contains <b>461 calories</b>, <b>51g of protein</b>, and <b>25g of fat</b>. This recipe serves 4 and costs $3.3 per serving. This recipe is liked by 49 foodies and cooks. A mixture of butter, alouette garlic & herbs spreadable cheese, paprika, and a handful of other ingredients are all it takes to make this recipe so tasty. A couple people really liked this main course. It is brought to you by Foodista. It is a good option if you're following a <b>gluten free and primal</b> diet. With a spoonacular <b>score of 95%</b>, this dish is spectacular. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/chicken-alouette-1300127"">Chicken Alouette</a>, <a href=""https://spoonacular.com/recipes/chicken-alouette-135800"">Chicken Alouette</a>, and <a href=""https://spoonacular.com/recipes/alouette-summer-vegetables-105199"">Alouette Summer Vegetables</a>.",4,0,"lunch, main course, main dish, dinner",108,Cold
White Chocolate Raspberry Brie Cups,Mediterranean,Non-Vegetarian,"White Chocolate Raspberry Brie Cups is a Mediterranean hor d'oeuvre. This recipe makes 15 servings with <b>54 calories</b>, <b>1g of protein</b>, and <b>2g of fat</b> each. For <b>37 cents per serving</b>, this recipe <b>covers 1%</b> of your daily requirements of vitamins and minerals. A couple people made this recipe, and 19 would say it hit the spot. If you have brie, chocolate, raspberry preserves, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes about <b>20 minutes</b>. It is brought to you by Foodista. With a spoonacular <b>score of 11%</b>, this dish is rather bad. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/white-chocolate-brie-cups-418892"">White Chocolate Brie Cups</a>, <a href=""https://spoonacular.com/recipes/white-chocolate-raspberry-dessert-cups-166002"">White Chocolate Raspberry Dessert Cups</a>, and <a href=""https://spoonacular.com/recipes/keto-white-chocolate-raspberry-cups-769482"">Keto White Chocolate Raspberry Cups</a>.",1,0,"antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre",109,Cold
"Red, White & Blue Crepes: Happy July 4th! @driscollsberry",Mediterranean,Non-Vegetarian,"If you want to add more <b>Mediterranean</b> recipes to your recipe box, Red, White & Blue Crepes: Happy July 4th! @driscollsberry might be a recipe you should try. This recipe makes 1 servings with <b>254 calories</b>, <b>6g of protein</b>, and <b>7g of fat</b> each. For <b>$3.07 per serving</b>, this recipe <b>covers 13%</b> of your daily requirements of vitamins and minerals. A few people made this recipe, and 34 would say it hit the spot. It works well as a rather pricey breakfast. It is brought to you by fullbellysisters.blogspot.com. If you have blueberries, raspberries, feta cheese, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 66%</b>, which is solid. <a href=""https://spoonacular.com/recipes/july-4th-red-white-and-blue-patriotic-cake-522759"">July 4th Red, White and Blue Patriotic Cake</a>, <a href=""https://spoonacular.com/recipes/lightened-up-creamy-red-white-and-blue-potato-salad-perfect-for-july-4th-525575"">Lightened Up Creamy Red White and Blue Potato Salad Perfect for July 4th</a>, and <a href=""https://spoonacular.com/recipes/fourth-of-july-cookout-kid-friendly-red-white-and-blue-popsicles-542908"">Fourth of July Cookout, Kid Friendly : Red, White and Blue Popsicles</a> are very similar to this recipe.",3,3,"morning meal, brunch, breakfast",110,Cold
Classic Buttermilk Pie,Unknown,Non-Vegetarian,"Classic Buttermilk Pie requires about <b>1 hour and 15 minutes</b> from start to finish. One portion of this dish contains approximately <b>4g of protein</b>, <b>16g of fat</b>, and a total of <b>280 calories</b>. This recipe serves 10 and costs 47 cents per serving. Not a lot of people made this recipe, and 8 would say it hit the spot. This recipe from Foodista requires butter, buttermilk, eggs, and flour. It works well as a dessert. Overall, this recipe earns a <b>not so spectacular spoonacular score of 16%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/classic-buttermilk-waffles-1071121"">Classic Buttermilk Waffles</a>, <a href=""https://spoonacular.com/recipes/classic-buttermilk-pancakes-1277505"">Classic Buttermilk Pancakes</a>, and <a href=""https://spoonacular.com/recipes/classic-buttermilk-waffles-1152423"">Classic Buttermilk Waffles</a>.",1,1,dessert,111,Rainy
Chocolate Mousse in Chocolate Shell,Southern,Non-Vegetarian,"The recipe Chocolate Mousse in Chocolate Shell can be made <b>in around 45 minutes</b>. This recipe serves 6 and costs $1.8 per serving. Watching your figure? This gluten free recipe has <b>637 calories</b>, <b>6g of protein</b>, and <b>54g of fat</b> per serving. 138 people were impressed by this recipe. A mixture of butter, quality semi-sweet chocolate chips, strong coffee, and a handful of other ingredients are all it takes to make this recipe so flavorful. It is a <b>rather inexpensive</b> recipe for fans of Southern food. It is brought to you by Foodista. It can be enjoyed any time, but it is especially good for <b>valentin day</b>. With a spoonacular <b>score of 41%</b>, this dish is pretty good. Similar recipes are <a href=""https://spoonacular.com/recipes/chocolate-mousse-in-chocolate-shell-1419789"">Chocolate Mousse in Chocolate Shell</a>, <a href=""https://spoonacular.com/recipes/low-fat-chocolate-mousse-in-a-meringue-shell-pavlova-133162"">Low-Fat Chocolate Mousse in a Meringue Shell (Pavlova)</a>, and <a href=""https://spoonacular.com/recipes/chocolate-peanut-butter-ice-cream-with-chocolate-shell-509560"">Chocolate “Peanut Butter” Ice Cream with Chocolate Shell</a>.",1,1,,112,Cold
Avocado and Orange Salad With Orange-Ginger Dressing,Unknown,Vegetarian,"You can never have too many hor d'oeuvre recipes, so give Avocado and Orange Salad With Orange-Ginger Dressing a try. For <b>$2.22 per serving</b>, this recipe <b>covers 24%</b> of your daily requirements of vitamins and minerals. One serving contains <b>501 calories</b>, <b>6g of protein</b>, and <b>40g of fat</b>. This recipe serves 4. This recipe from Foodista requires agave syrup, oranges, green onions, and ginger paste. 4 people were impressed by this recipe. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> diet. Overall, this recipe earns a <b>tremendous spoonacular score of 88%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/avocado-and-orange-salad-with-orange-ginger-dressing-1295061"">Avocado and Orange Salad With Orange-Ginger Dressing</a>, <a href=""https://spoonacular.com/recipes/brussel-sprouts-salad-with-orange-ginger-dressing-496200"">Brussel Sprouts Salad with Orange Ginger Dressing</a>, and <a href=""https://spoonacular.com/recipes/chicken-and-mango-salad-with-ginger-orange-dressing-21105"">Chicken and Mango Salad with Ginger-Orange Dressing</a>.",4,5,"side dish, antipasti, salad, starter, snack, appetizer, antipasto, hor d'oeuvre",113,Cold
Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan),Indian,Vegetarian,"Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan) is a side dish that serves 4. For <b>$4.09 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains roughly <b>15g of protein</b>, <b>13g of fat</b>, and a total of <b>514 calories</b>. 2 people have made this recipe and would make it again. Head to the store and pick up onion, garam masala, cilantro, and a few other things to make it today. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> diet. It is a <b>rather expensive</b> recipe for fans of Indian food. From preparation to the plate, this recipe takes around <b>45 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 92%</b>, which is outstanding. Similar recipes are <a href=""https://spoonacular.com/recipes/spicy-stuffed-acorn-squash-513040"">Spicy Stuffed Acorn Squash</a>, <a href=""https://spoonacular.com/recipes/spicy-cod-fillet-with-coconut-squash-sauce-over-roasted-acorn-squash-227025"">Spicy Cod Fillet with Coconut-Squash Sauce Over Roasted Acorn Squash</a>, and <a href=""https://spoonacular.com/recipes/stuffed-acorn-squash-vegan-1140337"">Stuffed Acorn Squash (Vegan)</a>.",3,3,side dish,114,Rainy
Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan),Indian,Vegetarian,"Roasted Acorn Squash Stuffed with spicy Biryani (Veg/vegan) is a side dish that serves 4. For <b>$4.09 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains roughly <b>15g of protein</b>, <b>13g of fat</b>, and a total of <b>514 calories</b>. 2 people have made this recipe and would make it again. Head to the store and pick up onion, garam masala, cilantro, and a few other things to make it today. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> diet. It is a <b>rather expensive</b> recipe for fans of Indian food. From preparation to the plate, this recipe takes around <b>45 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 92%</b>, which is outstanding. Similar recipes are <a href=""https://spoonacular.com/recipes/spicy-stuffed-acorn-squash-513040"">Spicy Stuffed Acorn Squash</a>, <a href=""https://spoonacular.com/recipes/spicy-cod-fillet-with-coconut-squash-sauce-over-roasted-acorn-squash-227025"">Spicy Cod Fillet with Coconut-Squash Sauce Over Roasted Acorn Squash</a>, and <a href=""https://spoonacular.com/recipes/stuffed-acorn-squash-vegan-1140337"">Stuffed Acorn Squash (Vegan)</a>.",1,0,side dish,115,Rainy
Chicken Farfalle with Low-Fat Alfredo Sauce,Mediterranean,Non-Vegetarian,"Chicken Farfalle with Low-Fat Alfredo Sauce might be a good recipe to expand your main course recipe box. One serving contains <b>674 calories</b>, <b>43g of protein</b>, and <b>9g of fat</b>. For <b>$1.98 per serving</b>, this recipe <b>covers 27%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. This recipe from Foodista has 7 fans. It is an <b>affordable</b> recipe for fans of Mediterranean food. Head to the store and pick up flour, butter, skim milk, and a few other things to make it today. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 88%</b>, which is spectacular. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/chicken-farfalle-with-low-fat-alfredo-sauce-1632341"">Chicken Farfalle with Low-Fat Alfredo Sauce</a>, <a href=""https://spoonacular.com/recipes/low-fat-alfredo-sauce-624428"">Low Fat Alfredo Sauce</a>, and <a href=""https://spoonacular.com/recipes/almost-low-fat-chicken-alfredo-bake-with-bite-574307"">Almost Low Fat Chicken Alfredo Bake with Bite</a>.",3,1,"side dish, lunch, main course, main dish, dinner",116,Cold
Chapchae (Korean Stir-Fried Noodles),Korean,Vegetarian,"Chapchae (Korean Stir-Fried Noodles) is a <b>dairy free, lacto ovo vegetarian, and vegan</b> recipe with 4 servings. This side dish has <b>397 calories</b>, <b>5g of protein</b>, and <b>15g of fat</b> per serving. For <b>$2.09 per serving</b>, this recipe <b>covers 21%</b> of your daily requirements of vitamins and minerals. 40 people have made this recipe and would make it again. It is brought to you by Foodista. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. A few people really liked this Korean dish. A mixture of soy sauce, salt, baby spinach, and a handful of other ingredients are all it takes to make this recipe so scrumptious. All things considered, we decided this recipe <b>deserves a spoonacular score of 91%</b>. This score is spectacular. Similar recipes include <a href=""https://spoonacular.com/recipes/chapchae-korean-stir-fried-noodles-1569447"">Chapchae (Korean Stir-Fried Noodles)</a>, <a href=""https://spoonacular.com/recipes/chapchae-korean-stir-fried-noodles-1250231"">Chapchae (Korean Stir-Fried Noodles)</a>, and <a href=""https://spoonacular.com/recipes/korean-stir-fried-noodles-chapchae-604806"">Korean Stir-Fried Noodles (Chapchae)</a>.",1,2,side dish,117,Cold
Oven-Baked Feta Cheese Dip,Unknown,Vegetarian,"The recipe Oven-Baked Feta Cheese Dip can be made <b>in approximately 45 minutes</b>. This hor d'oeuvre has <b>200 calories</b>, <b>12g of protein</b>, and <b>15g of fat</b> per serving. For <b>$1.3 per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. If you have mild cheddar cheese, garlic, tomato sauce, and a few other ingredients on hand, you can make it. 2 people were impressed by this recipe. It will be a hit at your <b>The Super Bowl</b> event. It is brought to you by Foodista. It is a good option if you're following a <b>gluten free, lacto ovo vegetarian, primal, and ketogenic</b> diet. Overall, this recipe earns a <b>not so amazing spoonacular score of 38%</b>. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/oven-baked-feta-cheese-dip-1260621"">Oven-Baked Feta Cheese Dip</a>, <a href=""https://spoonacular.com/recipes/oven-baked-feta-cheese-dip-801114"">Oven-Baked Feta Cheese Dip</a>, and <a href=""https://spoonacular.com/recipes/oven-baked-macaroni-and-feta-cheese-566327"">Oven Baked Macaroni and Feta Cheese</a>.",5,4,"antipasti, condiment, starter, snack, appetizer, dip, antipasto, hor d'oeuvre, spread",118,Rainy
Baked Ziti Or Rigatoni,Mediterranean,Non-Vegetarian,"Baked Ziti Or Rigatoni is a Mediterranean recipe that serves 4. This main course has <b>869 calories</b>, <b>45g of protein</b>, and <b>32g of fat</b> per serving. For <b>$2.6 per serving</b>, this recipe <b>covers 33%</b> of your daily requirements of vitamins and minerals. This recipe from Foodista requires ziti, spaghetti sauce, parmesan cheese, and ricotta. Not a lot of people made this recipe, and 3 would say it hit the spot. From preparation to the plate, this recipe takes around <b>45 minutes</b>. With a spoonacular <b>score of 75%</b>, this dish is good. Try <a href=""https://spoonacular.com/recipes/rigatoni-al-forno-baked-rigatoni-with-roasted-asparagus-and-on-115058"">Rigatoni Al Forno (Baked Rigatoni) with Roasted Asparagus and On</a>, <a href=""https://spoonacular.com/recipes/baked-rigatoni-408338"">Baked Rigatoni</a>, and <a href=""https://spoonacular.com/recipes/baked-rigatoni-138827"">Baked Rigatoni</a> for similar recipes.",4,2,"side dish, lunch, main course, main dish, dinner",119,Cold
Spicy Coconut French Toast,American,Vegetarian,"Spicy Coconut French Toast might be just the <b>American</b> recipe you are searching for. This recipe serves 6 and costs $1.6 per serving. One serving contains <b>549 calories</b>, <b>13g of protein</b>, and <b>28g of fat</b>. Only a few people really liked this breakfast. If you have maple syrup, bread, ground cayenne pepper, and a few other ingredients on hand, you can make it. 5 people have made this recipe and would make it again. From preparation to the plate, this recipe takes roughly <b>30 minutes</b>. It is a good option if you're following a <b>lacto ovo vegetarian</b> diet. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 44%</b>. This score is solid. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/coconut-french-toast-with-coconut-syrup-543500"">Coconut French Toast with Coconut Syrup</a>, <a href=""https://spoonacular.com/recipes/coconut-french-toast-419815"">Coconut French Toast</a>, and <a href=""https://spoonacular.com/recipes/crunchy-coconut-french-toast-600187"">Crunchy Coconut French Toast</a>.",3,4,"morning meal, brunch, breakfast",120,Cold
Warm Lemon Poppy Seed Cake With Chocolate Ganache Center,Unknown,Non-Vegetarian,"Warm Lemon Poppy Seed Cake With Chocolate Ganache Center requires around <b>45 minutes</b> from start to finish. This recipe makes 6 servings with <b>524 calories</b>, <b>9g of protein</b>, and <b>36g of fat</b> each. For <b>$1.26 per serving</b>, this recipe <b>covers 11%</b> of your daily requirements of vitamins and minerals. 2 people found this recipe to be flavorful and satisfying. A mixture of bittersweet chocolate, lemon rind, egg yolks, and a handful of other ingredients are all it takes to make this recipe so yummy. It works well as a dessert. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 29%</b>. This score is not so spectacular. Similar recipes include <a href=""https://spoonacular.com/recipes/white-chocolate-lemon-and-poppy-seed-cake-522575"">White chocolate, lemon and poppy seed cake</a>, <a href=""https://spoonacular.com/recipes/chewy-almond-poppy-seed-granola-bars-lemon-poppy-seed-variation-too-543986"">Chewy Almond Poppy Seed Granola Bars (Lemon Poppy Seed variation too)</a>, and <a href=""https://spoonacular.com/recipes/red-velvet-molten-chocolate-lava-cakes-with-chocolate-ganache-center-1364179"">Red Velvet Molten Chocolate Lava Cakes with Chocolate Ganache Center</a>.",4,5,dessert,121,Cold
Salmon with roasted vegetables,Unknown,Non-Vegetarian,"Salmon with roasted vegetables takes approximately <b>45 minutes</b> from beginning to end. For <b>$5.2 per serving</b>, this recipe <b>covers 45%</b> of your daily requirements of vitamins and minerals. This recipe serves 2. One serving contains <b>496 calories</b>, <b>39g of protein</b>, and <b>18g of fat</b>. Head to the store and pick up lemon juice, salt, carrot, and a few other things to make it today. Not a lot of people made this recipe, and 7 would say it hit the spot. It works well as a main course. It is a good option if you're following a <b>gluten free, dairy free, whole 30, and pescatarian</b> diet. It is brought to you by Foodista. Overall, this recipe earns a <b>great spoonacular score of 94%</b>. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/roasted-salmon-vegetables-1312689"">Roasted Salmon & Vegetables</a>, <a href=""https://spoonacular.com/recipes/roasted-salmon-vegetables-36765"">Roasted Salmon & Vegetables</a>, and <a href=""https://spoonacular.com/recipes/salmon-with-roasted-vegetables-1333407"">Salmon with roasted vegetables</a>.",4,1,"lunch, main course, main dish, dinner",122,Cold
Cheese Pork Chops,Unknown,Non-Vegetarian,"You can never have too many main course recipes, so give Cheese Pork Chops a try. One portion of this dish contains approximately <b>35g of protein</b>, <b>29g of fat</b>, and a total of <b>416 calories</b>. This recipe serves 4. For <b>$2.35 per serving</b>, this recipe <b>covers 20%</b> of your daily requirements of vitamins and minerals. It is a good option if you're following a <b>gluten free and primal</b> diet. 7 people have made this recipe and would make it again. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. A mixture of dijon mustard, gruyere cheese, olive oil, and a handful of other ingredients are all it takes to make this recipe so scrumptious. It is brought to you by Foodista. With a spoonacular <b>score of 58%</b>, this dish is good. Try <a href=""https://spoonacular.com/recipes/cheese-pork-chops-1432615"">Cheese Pork Chops</a>, <a href=""https://spoonacular.com/recipes/cream-cheese-pork-chops-397985"">Cream Cheese Pork Chops</a>, and <a href=""https://spoonacular.com/recipes/pork-chops-and-cheese-potatoes-121722"">Pork Chops and Cheese Potatoes</a> for similar recipes.",5,3,"lunch, main course, main dish, dinner",123,Rainy
Chocoholic's Deep Dark Dream Chiffon Cake,Unknown,Non-Vegetarian,"The recipe Chocoholic's Deep Dark Dream Chiffon Cake can be made <b>in roughly 45 minutes</b>. This recipe serves 16. One portion of this dish contains approximately <b>4g of protein</b>, <b>15g of fat</b>, and a total of <b>342 calories</b>. For <b>54 cents per serving</b>, this recipe <b>covers 5%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. A few people really liked this dessert. This recipe is liked by 14 foodies and cooks. A mixture of vanilla, water, sugar, and a handful of other ingredients are all it takes to make this recipe so scrumptious. Overall, this recipe earns a <b>not so outstanding spoonacular score of 17%</b>. <a href=""https://spoonacular.com/recipes/dark-chocolate-chiffon-cake-37486"">Dark Chocolate Chiffon Cake</a>, <a href=""https://spoonacular.com/recipes/deep-dark-chocolate-cake-463666"">Deep Dark Chocolate Cake</a>, and <a href=""https://spoonacular.com/recipes/deep-dark-ganache-cake-468584"">Deep & Dark Ganache Cake</a> are very similar to this recipe.",0,0,dessert,124,Hot
Cajun Seafood and Andouille Sausage Gumbo,Creole,Non-Vegetarian,"Cajun Seafood and Andouille Sausage Gumbo is a main course that serves 4. One serving contains <b>766 calories</b>, <b>44g of protein</b>, and <b>47g of fat</b>. For <b>$4.86 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. This recipe is typical of Cajun cuisine. Not a lot of people made this recipe, and 5 would say it hit the spot. It is a good option if you're following a <b>dairy free</b> diet. Head to the store and pick up crab meat, bay leaves, pepper, and a few other things to make it today. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Overall, this recipe earns a <b>solid spoonacular score of 75%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/cajun-andouille-sausage-gumbo-629156"">Cajun Andouille Sausage Gumbo</a>, <a href=""https://spoonacular.com/recipes/andouille-sausage-cajun-gumbo-1080260"">Andouille Sausage Cajun Gumbo</a>, and <a href=""https://spoonacular.com/recipes/andouille-sausage-cajun-gumbo-1388037"">Andouille Sausage Cajun Gumbo</a>.",5,0,"lunch, soup, main course, main dish, dinner",125,Hot
Dak Bulgogi - Korean BBQ Chicken,Korean,Non-Vegetarian,"If you have around <b>6 hours and 40 minutes</b> to spend in the kitchen, Dak Bulgogi - Korean BBQ Chicken might be an amazing <b>gluten free and dairy free</b> recipe to try. This main course has <b>557 calories</b>, <b>40g of protein</b>, and <b>39g of fat</b> per serving. This recipe serves 4. For <b>$1.6 per serving</b>, this recipe <b>covers 20%</b> of your daily requirements of vitamins and minerals. 2 people have made this recipe and would make it again. Only a few people really liked this Korean dish. Head to the store and pick up chicken thighs, boston bibb lettuce, brown sugar, and a few other things to make it today. It is brought to you by Foodista. Overall, this recipe earns a <b>pretty good spoonacular score of 47%</b>. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/dak-bulgogi-korean-bbq-chicken-248907"">Dak Bulgogi (Korean BBQ Chicken)</a>, <a href=""https://spoonacular.com/recipes/dak-bulgogi-korean-bbq-chicken-1248345"">Dak Bulgogi - Korean BBQ Chicken</a>, and <a href=""https://spoonacular.com/recipes/dak-bulgogi-korean-bbq-chicken-1566187"">Dak Bulgogi (Korean BBQ Chicken)</a>.",2,5,"lunch, main course, main dish, dinner",126,Cold
Biryani,Indian,Non-Vegetarian,Aromatic rice dish with meat and spices.,3,2,"lunch, main course, dinner",127,Hot
Palak Paneer,Indian,Vegetarian,Spinach and cottage cheese curry.,2,1,"lunch, dinner",128,Cold
Samosa,Indian,Vegetarian,Fried or baked pastry with savory filling.,2,1,"snack, appetizer",129,Rainy
Butter Chicken,Indian,Non-Vegetarian,Creamy tomato-based chicken curry.,2,2,"lunch, dinner",130,Cold
Dhokla,Indian,Vegetarian,Steamed chickpea flour cake.,1,2,"breakfast, snack",131,Hot
Pizza Margherita,Italian,Vegetarian,"Classic pizza with tomatoes, mozzarella, and basil.",1,2,"lunch, dinner",132,Hot
Sushi,Japanese,Non-Vegetarian,Vinegared rice with raw fish and vegetables.,1,1,"lunch, dinner",133,Cold
Tacos,Mexican,Non-Vegetarian,Corn tortilla with various fillings.,2,1,"lunch, dinner",134,Hot
Pad Thai,Thai,Non-Vegetarian,"Stir-fried rice noodles with shrimp, chicken, or tofu.",2,2,"lunch, dinner",135,Hot
Paella,Spanish,Non-Vegetarian,"Rice dish with seafood, vegetables, and saffron.",2,1,"lunch, dinner",136,Hot
Biryani,Indian,Non-Vegetarian,Aromatic rice dish with meat and spices.,3,2,"lunch, main course, dinner",137,Hot
Palak Paneer,Indian,Vegetarian,Spinach and cottage cheese curry.,2,1,"lunch, dinner",138,Cold
Samosa,Indian,Vegetarian,Fried or baked pastry with savory filling.,2,1,"snack, appetizer",139,Rainy
Butter Chicken,Indian,Non-Vegetarian,Creamy tomato-based chicken curry.,2,2,"lunch, dinner",140,Cold
Dhokla,Indian,Vegetarian,Steamed chickpea flour cake.,1,2,"breakfast, snack",141,Hot
Pizza Margherita,Italian,Vegetarian,"Classic pizza with tomatoes, mozzarella, and basil.",1,2,"lunch, dinner",142,Hot
Sushi,Japanese,Non-Vegetarian,Vinegared rice with raw fish and vegetables.,1,1,"lunch, dinner",143,Cold
Tacos,Mexican,Non-Vegetarian,Corn tortilla with various fillings.,2,1,"lunch, dinner",144,Hot
Pad Thai,Thai,Non-Vegetarian,"Stir-fried rice noodles with shrimp, chicken, or tofu.",2,2,"lunch, dinner",145,Hot
Paella,Spanish,Non-Vegetarian,"Rice dish with seafood, vegetables, and saffron.",2,1,"lunch, dinner",146,Hot
Spaghetti Bolognese,Italian,Non-Vegetarian,Pasta with meat sauce.,2,2,"lunch, dinner",147,Hot
Chow Mein,Chinese,Non-Vegetarian,Stir-fried noodles with vegetables and meat.,2,2,"lunch, dinner",148,Hot
Falafel,Middle Eastern,Vegetarian,Deep-fried chickpea balls.,2,1,"lunch, snack",149,Hot
Ceviche,Peruvian,Non-Vegetarian,Raw fish marinated in citrus juices.,2,1,appetizer,150,Cold
Ratatouille,French,Vegetarian,"Vegetable stew with eggplant, zucchini, and peppers.",1,2,"lunch, dinner",151,Hot
Goulash,Hungarian,Non-Vegetarian,Beef stew with paprika and onions.,2,1,"lunch, dinner",152,Hot
Moussaka,Greek,Non-Vegetarian,Eggplant and potato casserole with minced meat.,2,2,"lunch, dinner",153,Hot
Shawarma,Middle Eastern,Non-Vegetarian,Marinated meat wrapped in pita bread.,3,1,"lunch, dinner",154,Hot
Risotto,Italian,Vegetarian,Creamy rice dish with various ingredients.,1,1,"lunch, dinner",155,Hot
Enchiladas,Mexican,Non-Vegetarian,"Corn tortillas with meat, cheese, and chili sauce.",3,2,"lunch, dinner",156,Hot
Lasagna,Italian,Non-Vegetarian,Layered pasta with meat and cheese.,2,2,"lunch, dinner",157,Hot
Sashimi,Japanese,Non-Vegetarian,Sliced raw fish.,1,1,"lunch, dinner",158,Cold
Pho,Vietnamese,Non-Vegetarian,Noodle soup with beef or chicken.,2,1,"lunch, dinner",159,Hot
Hummus,Middle Eastern,Vegetarian,Chickpea dip with tahini.,1,1,"snack, appetizer",160,Hot
Paella Valenciana,Spanish,Non-Vegetarian,"Rice dish with rabbit, chicken, and vegetables.",2,1,"lunch, dinner",161,Hot
Baklava,Turkish,Vegetarian,Sweet pastry with nuts and syrup.,1,5,dessert,162,Cold
Couscous,Moroccan,Vegetarian,Steamed semolina with vegetables and meat.,2,2,"lunch, dinner",163,Hot
Bruschetta,Italian,Vegetarian,Toasted bread with tomatoes and basil.,1,1,appetizer,164,Hot
Tiramisu,Italian,Vegetarian,Layered dessert with coffee-soaked ladyfingers.,1,5,dessert,165,Cold
Quiche Lorraine,French,Non-Vegetarian,Savory tart with bacon and cheese.,1,2,"lunch, dinner",166,Hot
